ticker,date,action,shares
RR.L,2024-10-25,BUY,1
RTX,2024-10-25,BUY,1
RY,2024-10-25,BUY,1
RY,2024-11-14,SELL,1
SAF.PA,2024-10-25,BUY,1
SBUX,2024-10-25,BUY,1
SBUX,2024-11-14,SELL,1
SGLN.L,2024-10-25,BUY,1
SGLN.L,2024-10-31,BUY,1
SGLN.L,2024-10-31,BUY,1
SHOP,2024-11-20,BUY,1
SHW,2024-10-25,BUY,1
SHW,2024-11-14,SELL,1
SLB,2024-10-25,BUY,1
SLB,2024-11-14,SELL,1
SMCI,2024-10-25,BUY,1
SMCI,2024-11-14,SELL,1
SMCI,2025-02-05,BUY,1
SMCI,2025-02-05,BUY,1
SMCI,2025-02-07,BUY,1
SMCI,2025-02-12,BUY,1
SMCI,2025-08-22,SELL,4
SNPS,2024-10-25,BUY,1
SNPS,2025-04-07,SELL,1
SNPS,2025-04-07,BUY,1
SOUN,2024-10-25,BUY,1
SOUN,2025-04-07,SELL,1
SOUN,2025-04-07,BUY,1
SQQQ.L,2025-04-07,BUY,1
SQQQ.L,2025-04-07,SELL,1
SQQQ.L,2025-04-07,BUY,1
SQQQ.L,2025-04-07,SELL,1
STAG,2024-10-25,BUY,1
STAG,2024-11-14,SELL,1
SXLI.L,2026-04-16,BUY,1
SYY,2024-10-25,BUY,1
SYY,2024-11-14,SELL,1
TCEHY,2025-04-28,BUY,1
TD,2024-10-25,BUY,1
TD,2024-11-14,SELL,1
TDG,2024-10-25,BUY,1
TEM,2026-01-06,BUY,1
TER,2024-10-25,BUY,1
TER,2025-04-07,SELL,1
TER,2025-04-07,BUY,1
TKA.DE,2025-02-17,BUY,1
TKA.DE,2025-04-07,SELL,1
TROW,2024-10-25,BUY,1
TROW,2024-11-14,SELL,1
TSLA,2024-10-25,BUY,1
TSLA,2025-04-07,SELL,1
TSLA,2025-04-07,BUY,1
TSM,2025-03-03,BUY,1
TSM,2025-03-03,BUY,1
TXT,2024-10-25,BUY,1
URNG.L,2025-01-07,BUY,1
URNG.L,2025-01-07,BUY,1
URNG.L,2025-02-03,SELL,2
USSC.L,2026-04-16,BUY,1
VDPG.L,2026-04-16,BUY,1
VFEM.L,2024-10-25,BUY,1
VFEM.L,2024-11-12,SELL,1
VIRT,2025-01-22,BUY,1
VIRT,2025-01-22,BUY,1
VIRT,2025-04-07,SELL,2
VRT,2024-10-25,BUY,1
VRT,2025-04-07,SELL,1
VRT,2025-04-07,BUY,1
VST,2024-10-25,BUY,1
VST,2025-04-07,SELL,1
VST,2025-04-07,BUY,1
VWRP.L,2024-10-31,BUY,1
VWRP.L,2024-10-31,BUY,1
VWRP.L,2025-02-03,SELL,2
WFC,2024-11-15,BUY,1
WFC,2024-11-15,BUY,1
WFC,2024-11-15,BUY,1
WFC,2024-12-30,SELL,3
WMT,2024-10-25,BUY,1
WMT,2024-11-14,SELL,1
WREE.L,2026-01-05,BUY,1
WREE.L,2026-04-16,BUY,1
ZS,2024-10-25,BUY,1
ZS,2025-04-07,SELL,1
ZS,2025-04-07,BUY,1
